ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl01210	2-Oxocarboxylic acid metabolism	42	0.540138906709709	2.05362520663661	9.70796757715445e-05	0.000909483278280785	0.000591621292790576	5966	tags=67%, list=29%, signal=48%	100694950/100706906/100691871/100705334/100692119/100693722/100708317/100705761/100689951/100706080/100707874/100702933/100689795/100711999/100705559/100709338/100690705/100691217/100698186/100705674/100690661/100707459/100691740/100695998/100703768/100690242/100703097/100691210
onl00785	Lipoic acid metabolism	22	0.650742373478861	2.1163231699579	0.000123469901550499	0.00109888212379944	0.000714825745818677	4691	tags=73%, list=23%, signal=56%	100709695/100703736/100705334/100693722/100705761/100689951/100706080/100712533/100702933/100689795/100702337/100705559/100709338/100691217/100705674/100707494
onl04330	Notch signaling pathway	92	-0.438306469498102	-1.87202657797407	0.000131280285837985	0.00111275670853149	0.000723851200109188	3375	tags=34%, list=16%, signal=28%	100709989/100692440/100698988/102081093/100700093/100700695/109202241/100700280/100709852/100709503/100699840/100711998/109202132/100698066/102082056/100696924/100699130/100707048/100700965/100703553/100710579/109202242/100696073/100699419/100690969/100697735/100693766/100707611/100695507/100712363/100699141
onl00900	Terpenoid backbone biosynthesis	22	0.631758587979092	2.05458472054375	0.000277096975960832	0.00224196644186492	0.00145840513663596	5900	tags=77%, list=28%, signal=55%	100697646/100702912/100705873/100709246/100692164/100712075/100700130/100689931/100705878/100706299/100693505/100708999/100691111/100709189/100699723/100695797/100706940
onl03030	DNA replication	37	0.540297985198911	1.98969926503175	0.000325413348567061	0.00231694304179747	0.00150717761441586	5150	tags=59%, list=25%, signal=45%	100695217/100692775/100711026/100698369/100710394/100696838/100689926/100692796/100691820/100698675/100705373/100703384/100697228/100693703/100705153/100702557/100697842/100693300/100694927/100704243/100705557/100707739
onl00970	Aminoacyl-tRNA biosynthesis	43	0.512665117873459	1.96174881451346	0.000300620925889765	0.00231694304179747	0.00150717761441586	5055	tags=58%, list=24%, signal=44%	100702408/100709222/100693173/100695771/100711113/100710207/100710953/100707922/100698609/100696837/100709798/100689916/100694096/100692200/100692163/100708710/100707561/100694638/100691135/100711953/100709419/100710527/100691589/100699733/100710663
onl04672	Intestinal immune network for IgA production	67	-0.460433591087993	-1.86430614330777	0.000324484060397093	0.00231694304179747	0.00150717761441586	4415	tags=40%, list=21%, signal=32%	102077649/100695280/109194176/102081732/100703853/100703262/100702234/100692238/100701242/100703947/100701693/102077087/109202867/100712229/100693712/100701975/100709109/100694653/109201613/106096470/100703581/100692508/100710971/100696663/102079592/100709445/112841757
onl00280	Valine, leucine and isoleucine degradation	56	0.471589945989499	1.92294632178385	0.00037265339949205	0.0025512425042148	0.0016595900382237	4338	tags=52%, list=21%, signal=41%	100702912/100691671/100707184/100696213/100693722/100706096/100712075/100699093/100708936/100698741/100708820/100689799/100692418/100699540/100706080/100689827/100700973/100702383/100704813/100703423/100692528/102078228/100708775/100690782/100694545/100705559/100691111/100710578/100693723
onl00480	Glutathione metabolism	71	0.426056347206683	1.83649726192729	0.00049839641347253	0.00328572450363372	0.00213737253341046	3035	tags=34%, list=15%, signal=29%	100696691/100700381/100708530/100690287/100690298/100534425/109194248/100698815/100694054/100694221/100695664/100697781/100705056/100690646/100705617/100703402/100707874/100703332/100703946/100696334/100697974/100702985/100705018/100703953
onl00640	Propanoate metabolism	34	0.52860864087619	1.93193316455681	0.000519881081230923	0.00330495830211087	0.00214988417050381	4898	tags=62%, list=24%, signal=47%	100534427/100693722/100706096/100698741/100708820/100689799/100710696/100699540/100709891/100706080/100689827/100703423/100692528/100694281/100708775/100690782/100705559/100706460/100699523/100712005/100698584
onl04519	Cadherin signaling	413	-0.28804265608485	-1.46382186868044	0.00078635607793339	0.0048265993749015	0.00313971573766508	5067	tags=33%, list=24%, signal=25%	100695194/100708272/100712260/100697702/100700725/100712562/100695691/100711729/100698769/100707581/100696601/100710461/100700903/100702817/100693668/100710886/100694832/100701761/100709105/100705177/100695834/100709824/100694520/100697642/100699645/100711613/100690580/100691319/100692359/100697944/100706936/102081358/100699212/100706030/100709985/100704058/100695880/100700554/100691708/100710451/100707909/100692410/100709989/100709470/100698988/100709469/100706313/100708288/100689729/100702843/100698136/100699411/100691832/100704245/100703188/100711743/100697948/100692213/100702084/100700904/100705471/100694553/100693268/100697056/100692123/100700695/100710655/100696071/100697671/100710621/100698206/100698220/100710066/100695133/100707159/100709320/100697571/100712359/100689998/100706281/100701076/100703664/100703349/100702836/100695750/100705595/100692217/100705241/100698252/100691716/100709568/100694327/100711033/100691047/100708583/100693618/100704057/100692632/100695882/100695045/100695709/100699613/100700965/100708759/100707499/100698737/100692252/100697534/100700015/102080323/100692718/100705426/100705353/100696178/100706971/100691416/100695603/100692594/100699484/100698792/100690228/100703197/100690348/100709219/100696265/100692052/100696565/100696195/100710509/100705148/100692557/100707214/100695456/100704365/100698251/100701777
onl03008	Ribosome biogenesis in eukaryotes	80	0.393111896524589	1.71924248535014	0.000845801382533185	0.00501842153636356	0.00326449656416317	5920	tags=50%, list=29%, signal=36%	100703956/100698107/100709012/100695788/100709557/100708811/100696623/100704427/109194156/100690312/100700222/100701316/112842563/100710962/100709353/100707405/100691983/100710852/100691321/100694422/100704209/100707444/100691421/100712097/100709561/100703071/100700003/100692703/100710716/112843665/100692753/100692335/100703095/112843666/100706520/100700413/100694091/100694716/112846812/100708852
onl04012	ErbB signaling pathway	114	-0.379432555021076	-1.68783198534561	0.00126132302944582	0.00701610935129239	0.0045639978039158	5153	tags=40%, list=25%, signal=31%	100703314/100710684/100704980/100705884/100690945/100705501/100702193/100695450/100703685/100698501/100708502/100711065/100711745/100711613/100698076/100701539/100708521/100704581/100709597/100709901/100706539/100709560/100708273/100708294/100698373/100704988/100697571/100705233/100707515/100707971/100695709/100705041/100699493/100699878/100692252/100693657/100698523/100705849/100691361/100709219/100702155/100693620/100706609/100696779/100703163/100696183
onl04137	Mitophagy - animal	136	0.326670717051549	1.56024278277939	0.00126074166807401	0.00701610935129239	0.0045639978039158	3490	tags=31%, list=17%, signal=26%	100705579/100698493/100704139/100696865/100693713/100690274/100694749/100709999/100708872/100690427/100702587/100697476/100704427/100691403/100708832/100690566/100700339/106097033/100701609/100697268/100711054/100710962/100696857/100708029/100707568/100693944/100711031/100699081/100711888/100703030/100691366/100705438/100691928/100704868/100710852/100697359/100694649/100695809/100705360/100706491/100691790/100712356
onl00590	Arachidonic acid metabolism	67	0.403866434907684	1.71330399122564	0.00149274845441311	0.00805179469350102	0.00523771387513372	4412	tags=39%, list=21%, signal=31%	100696691/100693432/100695385/100701799/100700441/100706085/100698983/100700439/109196840/100712009/100694260/100690511/100700165/100703555/100705920/100704809/102080676/100700978/100699898/109194408/100704884/109197784/100691639/109194261/100701255/100695569
onl00650	Butanoate metabolism	20	0.586894277680401	1.86976885645448	0.00364779561523036	0.0190972829267942	0.0124228333645616	5010	tags=55%, list=24%, signal=42%	100702912/100712075/100699540/100689827/100702424/100704813/100703423/100704451/100691111/100710578/100706017
onl03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	11	-0.702348087181012	-1.80167803748049	0.00561034712133492	0.028532622502789	0.0185605468675742	1892	tags=45%, list=9%, signal=41%	100693511/100709549/100699465/100712491/100695975
