cluster	GO	Description	set	padj	NES
6	GO:0034329	cell junction assembly	both	Multifasciatus:0.000384;Meeli:0.00908	Multifasciatus:-1.86;Meeli:-1.66
6	GO:0034330	cell junction organization	both	Multifasciatus:0.000385;Meeli:7.69e-06	Multifasciatus:-1.74;Meeli:-1.89
6	GO:0071826	protein-RNA complex organization	Multifasciatus	0.000472	1.89
6	GO:0048284	organelle fusion	both	Multifasciatus:0.000595;Meeli:0.000859	Multifasciatus:1.96;Meeli:1.96
6	GO:0030198	extracellular matrix organization	Multifasciatus	0.000859	-1.96
6	GO:0030036	actin cytoskeleton organization	both	Multifasciatus:0.00199;Meeli:0.0186	Multifasciatus:-1.54;Meeli:-1.4
6	GO:0006906	vesicle fusion	both	Multifasciatus:0.00315;Meeli:0.000416	Multifasciatus:1.85;Meeli:2
6	GO:0000422	autophagy of mitochondrion	both	Multifasciatus:0.00318;Meeli:0.0064	Multifasciatus:1.98;Meeli:1.94
6	GO:0097435	supramolecular fiber organization	Multifasciatus	0.00706	-1.45
6	GO:0061025	membrane fusion	both	Multifasciatus:0.00844;Meeli:0.000594	Multifasciatus:1.77;Meeli:1.95
6	GO:0120035	regulation of plasma membrane bounded cell projection organization	both	Multifasciatus:0.0117;Meeli:0.0183	Multifasciatus:-1.63;Meeli:-1.54
6	GO:0016050	vesicle organization	both	Multifasciatus:0.0118;Meeli:0.000686	Multifasciatus:1.57;Meeli:1.82
6	GO:0051493	regulation of cytoskeleton organization	Multifasciatus	0.0147	-1.5
6	GO:0045104	intermediate filament cytoskeleton organization	Multifasciatus	0.0174	-1.8
6	GO:0007030	Golgi organization	both	Multifasciatus:0.0234;Meeli:0.000215	Multifasciatus:1.71;Meeli:2.1
6	GO:0008637	apoptotic mitochondrial changes	Meeli	0.0377	1.79
7	GO:0006457	protein folding	both	Multifasciatus:7.37e-08;Meeli:2.05e-08	Multifasciatus:2.3;Meeli:2.45
7	GO:0007017	microtubule-based process	Multifasciatus	0.000936	-1.54
7	GO:0030029	actin filament-based process	both	Multifasciatus:0.00267;Meeli:0.0315	Multifasciatus:-1.5;Meeli:-1.35
7	GO:0000278	mitotic cell cycle	Multifasciatus	0.0134	-1.47
