cluster	GO	Description	category_Mu	category_Me	NES_sol_Mu	NES_grp_Mu	NES_sol_Me	NES_grp_Me	delta_NES_Mu	delta_NES_Me	padj_Mu_sol	padj_Mu_grp	padj_Me_sol	padj_Me_grp
11	GO:0007005	mitochondrion organization	shared_same_direction	shared_same_direction	1.67556445764582	1.92862928182062	1.61854199227477	1.78841422897095	0.2530648241748	0.16987223669618	0.00872475344304849	0.000193367086978571	0.0459275209899901	0.00368694648873783
11	GO:0007009	plasma membrane organization	shared_same_direction	NA	-1.79059857520595	-1.73089362158113	NA	NA	0.05970495362482	NA	0.0135901052427117	0.0262906962331666	NA	NA
11	GO:0044782	cilium organization	solitary_specific	shared_same_direction	-1.5478845785718	NA	-1.59091693303689	-1.86355768779276	NA	-0.27264075475587	0.0187315640737937	NA	0.0284791227708834	0.000770503814785741
11	GO:0060271	cilium assembly	solitary_specific	group_specific	-1.5299965011155	NA	NA	-1.89565603907921	NA	NA	0.0251140215426808	NA	NA	0.00101414004491793
11	GO:0071826	protein-RNA complex organization	group_specific	solitary_specific	NA	1.85026632687965	1.95434036617952	NA	NA	NA	NA	0.00235037559064313	0.000598980929606105	NA
11	GO:0022618	protein-RNA complex assembly	group_specific	solitary_specific	NA	1.85438633665292	1.88583377506946	NA	NA	NA	NA	0.00280425599279348	0.00367301759232106	NA
11	GO:0032535	regulation of cellular component size	group_specific	NA	NA	-1.60258011873843	NA	NA	NA	NA	NA	0.0129068266377066	NA	NA
11	GO:0032200	telomere organization	group_specific	NA	NA	1.81625893284074	NA	NA	NA	NA	NA	0.0322169957715154	NA	NA
11	GO:0042255	ribosome assembly	group_specific	NA	NA	1.85167026045927	NA	NA	NA	NA	NA	0.0322472772513036	NA	NA
11	GO:0008361	regulation of cell size	NA	solitary_specific	NA	NA	-2.00359339445051	NA	NA	NA	NA	NA	0.0061750188128418	NA
11	GO:0120035	regulation of plasma membrane bounded cell projection organization	NA	solitary_specific	NA	NA	-1.63286530851436	NA	NA	NA	NA	NA	0.0252997962699394	NA
11	GO:0033108	mitochondrial respiratory chain complex assembly	NA	solitary_specific	NA	NA	1.85708453822881	NA	NA	NA	NA	NA	0.0323826177155233	NA
11	GO:0006884	cell volume homeostasis	NA	group_specific	NA	NA	NA	-2.2188585976022	NA	NA	NA	NA	NA	0.00239803711692775
11	GO:0032981	mitochondrial respiratory chain complex I assembly	NA	group_specific	NA	NA	NA	2.17451156259723	NA	NA	NA	NA	NA	0.00239803711692775
11	GO:0042254	ribosome biogenesis	NA	group_specific	NA	NA	NA	1.73248067197623	NA	NA	NA	NA	NA	0.00239803711692775
11	GO:0001578	microtubule bundle formation	NA	group_specific	NA	NA	NA	-1.87351393170822	NA	NA	NA	NA	NA	0.0286531594591623
13	GO:0006753	nucleoside phosphate metabolic process	shared_same_direction	shared_same_direction	1.5663607431539	1.57346680508577	1.54903580050506	1.51870446690333	0.00710606193187013	-0.0303313336017299	0.00258852066362733	0.00223210730607763	0.0245927751612362	0.0155471251757361
13	GO:0006259	DNA metabolic process	shared_same_direction	NA	1.4939063467683	1.53035531621754	NA	NA	0.03644896944924	NA	0.00529614957325908	0.00154010874206908	NA	NA
13	GO:0006637	acyl-CoA metabolic process	solitary_specific	NA	1.85844663503324	NA	NA	NA	NA	NA	0.0171589130240487	NA	NA	NA
13	GO:0051604	protein maturation	solitary_specific	group_specific	1.48325519708024	NA	NA	1.54525773202655	NA	NA	0.0208622177544262	NA	NA	0.0190904511972607
13	GO:0002377	immunoglobulin production	group_specific	NA	NA	-1.99300627342235	NA	NA	NA	NA	NA	0.00154010874206908	NA	NA
13	GO:0006399	tRNA metabolic process	group_specific	NA	NA	1.70112619781185	NA	NA	NA	NA	NA	0.00288657019883307	NA	NA
13	GO:0140053	mitochondrial gene expression	group_specific	shared_same_direction	NA	1.91268885476765	1.78599221576528	1.85899585652198	NA	0.0730036407567001	NA	0.0129068266377066	0.0401423492693768	0.0286531594591623
13	GO:0000963	mitochondrial RNA processing	group_specific	NA	NA	1.99069837864612	NA	NA	NA	NA	NA	0.0309534516118372	NA	NA
13	GO:0006364	rRNA processing	group_specific	solitary_specific	NA	1.54577545441924	1.81816116539123	NA	NA	NA	NA	0.0358533214514819	0.00552898964810103	NA
13	GO:0035337	fatty-acyl-CoA metabolic process	group_specific	NA	NA	1.92464681252724	NA	NA	NA	NA	NA	0.0360703917644128	NA	NA
13	GO:0018057	peptidyl-lysine oxidation	group_specific	NA	NA	-1.80643271007718	NA	NA	NA	NA	NA	0.040236887079	NA	NA
13	GO:0016072	rRNA metabolic process	NA	solitary_specific	NA	NA	1.81811132913316	NA	NA	NA	NA	NA	0.00412197218634159	NA
13	GO:0072521	purine-containing compound metabolic process	NA	solitary_specific	NA	NA	1.55712835252071	NA	NA	NA	NA	NA	0.0216800784367142	NA
13	GO:0043687	post-translational protein modification	NA	solitary_specific	NA	NA	1.4807169724526	NA	NA	NA	NA	NA	0.0283463035838288	NA
13	GO:0030163	protein catabolic process	NA	shared_same_direction	NA	NA	1.44275238567037	1.4780841139064	NA	0.0353317282360301	NA	NA	0.045766607824058	0.01818143433718
13	GO:0006397	mRNA processing	NA	solitary_specific	NA	NA	1.47672465334354	NA	NA	NA	NA	NA	0.0489714640466819	NA
13	GO:0030488	tRNA methylation	NA	solitary_specific	NA	NA	1.85651913440119	NA	NA	NA	NA	NA	0.0495589694880975	NA
13	GO:0043484	regulation of RNA splicing	NA	group_specific	NA	NA	NA	-1.98577845654041	NA	NA	NA	NA	NA	0.00239803711692775
13	GO:0016180	snRNA processing	NA	group_specific	NA	NA	NA	1.94312184135795	NA	NA	NA	NA	NA	0.0305098226448159
13	GO:0072524	pyridine-containing compound metabolic process	NA	group_specific	NA	NA	NA	1.68831530878216	NA	NA	NA	NA	NA	0.0435523453570311
