G	S
0.448236749671895	0.551763250328105
0.456739442809545	0.543260557190455
0.498840800823106	0.501159199176894
0.42415926111238	0.57584073888762
0.448611873938361	0.551388126061639
0.453470449211008	0.546529550788992
0.979908128479365	0.0200918715206348
0.368443508975506	0.631556491024494
0.356410108194154	0.643589891805846
0.181785128771923	0.818214871228077
0.35484085092436	0.645159149075641
0.708249436551573	0.291750563448427
0.900250205274412	0.0997497947255885
0.962749343990656	0.0372506560093437
0.321790487105127	0.678209512894873
0.128994357383325	0.871005642616675
0.0493653913113428	0.950634608688657
0.015533608724545	0.984466391275455
0.302226766314074	0.697773233685926
0.352317625701446	0.647682374298554
0.376246814305168	0.623753185694832
0.319856851644986	0.680143148355014
0.35270858086705	0.64729141913295
0.66840386546842	0.33159613453158
0.694862109490185	0.305137890509815
0.662394860605757	0.337605139394243
0.451520507253171	0.548479492746829
0.498908041177627	0.501091958822373
0.0996762631756048	0.900323736824395
0.606506036515881	0.393493963484119
0.425366053352489	0.574633946647511
0.296004220812918	0.703995779187082
0.00984300924431602	0.990156990755684
0.00548449027427609	0.994515509725724
0.00308325548503633	0.996916744514964
0.0111185705136418	0.988881429486358
0.00464403108118197	0.995355968918818
0.00682675256198189	0.993173247438018
0.00465639341593233	0.995343606584068
0.00370703292045508	0.996292967079545
0.00823672513891005	0.99176327486109
0.00233866380129256	0.997661336198707
0.000576567016851344	0.999423432983149
0.000443545003603579	0.999556454996396
0.00218258825372779	0.997817411746272
0.000973267069242062	0.999026732930758
0.00113006386185187	0.998869936138148
0.00166952830701956	0.99833047169298
0.442136553310674	0.557863446689326
0.576120320950774	0.423879679049226
0.838259845373308	0.161740154626692
0.775442849215119	0.224557150784882
0.706660982099109	0.293339017900891
0.873454334548684	0.126545665451316
0.88973987159154	0.11026012840846
0.89099405299069	0.10900594700931
0.849185309088663	0.150814690911337
0.420394755800599	0.579605244199401
0.299248663059221	0.700751336940779
0.110263408558804	0.889736591441197
0.16893675628199	0.83106324371801
0.174613689683616	0.825386310316384
0.0639540908383568	0.936045909161643
0.548451568272034	0.451548431727966
0.696776063163986	0.303223936836014
0.550184586278734	0.449815413721266
0.433075533112785	0.566924466887215
0.20833138080767	0.79166861919233
0.407578826167395	0.592421173832605
0.415890950092982	0.584109049907018
0.433254566361114	0.566745433638886
0.255766854675148	0.744233145324852
0.255628823894293	0.744371176105707
0.275930780022153	0.724069219977847
0.523104845173088	0.476895154826913
0.544219899884103	0.455780100115897
0.514864052854217	0.485135947145783
0.126547249092072	0.873452750907928
0.662384496107751	0.337615503892249
0.791047452801074	0.208952547198926
0.558319132932837	0.441680867067163
0.0253790922882199	0.97462090771178
0.567461748885347	0.432538251114653
0.545593500918472	0.454406499081528
0.591610727142889	0.408389272857111
0.579352582971632	0.420647417028368
0.59843789046941	0.40156210953059
0.96808884991702	0.0319111500829796
0.700939464117785	0.299060535882215
0.832278738962387	0.167721261037613
0.780602509758107	0.219397490241893
0.962674821532142	0.0373251784678585
0.991978366787029	0.00802163321297081
0.983436527765812	0.0165634722341882
0.993369378452402	0.00663062154759758
0.994741206916237	0.00525879308376322
0.993085140138126	0.00691485986187399
0.983690083818695	0.0163099161813051
0.92583385742314	0.07416614257686
0.401331673263569	0.598668326736431
0.463896074287799	0.536103925712201
0.437602915722591	0.562397084277409
0.0243777244436669	0.975622275556333
0.167540391806625	0.832459608193375
0.104345735690013	0.895654264309987
0.0387241045140396	0.96127589548596
0.753988123276188	0.246011876723812
0.826397107660252	0.173602892339748
0.945591659393775	0.0544083406062249
0.78017330825202	0.21982669174798
0.813120596129672	0.186879403870328
0.839374509014739	0.160625490985261
0.920786346994915	0.0792136530050846
0.989712064360374	0.0102879356396256
0.999037093447314	0.000962906552686362
0.371883548222325	0.628116451777675
0.189323526462509	0.810676473537491
0.208917010205652	0.791082989794348
0.10920754370475	0.89079245629525
0.306572718425327	0.693427281574673
0.140813336565731	0.859186663434269
0.160574933669865	0.839425066330135
0.186884852810665	0.813115147189335
0.181949903478195	0.818050096521805
0.078602463618304	0.921397536381696
0.241013430101485	0.758986569898515
0.00393623980506447	0.996063760194935
0.0618815402074685	0.938118459792532
0.0274485445952637	0.972551455404736
0.013274414639554	0.986725585360446
0.00790698691301756	0.992093013086982
0.00589409814017135	0.994105901859829
0.00240165254585612	0.997598347454144
0.00847366402264576	0.991526335977354
0.219510290159268	0.780489709840732
0.00370343234701545	0.996296567652985
0.0053397393720232	0.994660260627977
0.00443636536507712	0.995563634634923
0.00171310956712623	0.998286890432874
0.0293082885050207	0.970691711494979
0.0770146068261521	0.922985393173848
0.0925586598315359	0.907441340168464
0.202718836182205	0.797281163817795
0.0126199881988455	0.987380011801155
0.0325985279900357	0.967401472009964
0.0403369579569907	0.959663042043009
0.0362015252579548	0.963798474742045
0.0405606080350407	0.959439391964959
