node150	0.55157555	0.44842445
node151	0.54346310	0.45653690
node152	0.51294837	0.48705163
node153	0.57420997	0.42579003
node154	0.55241756	0.44758244
node155	0.54807032	0.45192968
node156	0.02136331	0.97863669
node157	0.62901421	0.37098579
node158	0.63977882	0.36022118
node159	0.80099170	0.19900830
node160	0.64189293	0.35810707
node161	0.29807909	0.70192091
node162	0.11063050	0.88936950
node163	0.04245691	0.95754309
node164	0.67310594	0.32689406
node165	0.86074918	0.13925082
node166	0.94284741	0.05715259
node167	0.98007991	0.01992009
node168	0.69395305	0.30604695
node169	0.66023098	0.33976902
node170	0.63668737	0.36331263
node171	0.69651554	0.30348446
node172	0.66846825	0.33153175
node173	0.33941206	0.66058794
node174	0.31462708	0.68537292
node175	0.34403024	0.65596976
node176	0.55046077	0.44953923
node177	0.50998435	0.49001565
node178	0.89260009	0.10739991
node179	0.40443643	0.59556357
node180	0.57516194	0.42483806
node181	0.70075706	0.29924294
node182	0.98869020	0.01130980
node183	0.99261052	0.00738948
node184	0.99512190	0.00487810
node185	0.98480013	0.01519987
node186	0.99263703	0.00736297
node187	0.98996051	0.01003949
node188	0.99344291	0.00655709
node189	0.99450613	0.00549387
node190	0.98922917	0.01077083
node191	0.99714113	0.00285887
node192	0.99925232	0.00074768
node193	0.99948893	0.00051107
node194	0.99684577	0.00315423
node195	0.99855400	0.00144600
node196	0.99829474	0.00170526
node197	0.99770232	0.00229768
node198	0.55950716	0.44049284
node199	0.42604090	0.57395910
node200	0.16649257	0.83350743
node201	0.22858506	0.77141494
node202	0.30437254	0.69562746
node203	0.13131757	0.86868243
node204	0.11570054	0.88429946
node205	0.11534423	0.88465577
node206	0.15538690	0.84461310
node207	0.58203043	0.41796957
node208	0.70165253	0.29834747
node209	0.88150956	0.11849044
node210	0.82492777	0.17507223
node211	0.82241501	0.17758499
node212	0.93207268	0.06792732
node213	0.46160283	0.53839717
node214	0.31586625	0.68413375
node215	0.45817967	0.54182033
node216	0.56494697	0.43505303
node217	0.78619332	0.21380668
node218	0.59074432	0.40925568
node219	0.58305187	0.41694813
node220	0.56525974	0.43474026
node221	0.73684028	0.26315972
node222	0.73713840	0.26286160
node223	0.71876847	0.28123153
node224	0.47809076	0.52190924
node225	0.45630792	0.54369208
node226	0.48310711	0.51689289
node227	0.86204333	0.13795667
node228	0.33652640	0.66347360
node229	0.20708811	0.79291189
node230	0.43384795	0.56615205
node231	0.97341107	0.02658893
node232	0.42458175	0.57541825
node233	0.45310463	0.54689537
node234	0.39803383	0.60196617
node235	0.41170493	0.58829507
node236	0.38988917	0.61011083
node237	0.03337377	0.96662623
node238	0.30498932	0.69501068
node239	0.17167535	0.82832465
node240	0.22496309	0.77503691
node241	0.03754362	0.96245638
node242	0.00846099	0.99153901
node243	0.01790303	0.98209697
node244	0.00812109	0.99187891
node245	0.00668134	0.99331866
node246	0.00964313	0.99035687
node247	0.01795675	0.98204325
node248	0.07608285	0.92391715
node249	0.59682576	0.40317424
node250	0.54018853	0.45981147
node251	0.56208404	0.43791596
node252	0.97288028	0.02711972
node253	0.83063750	0.16936250
node254	0.89608111	0.10391889
node255	0.95778851	0.04221149
node256	0.26175265	0.73824735
node257	0.19203856	0.80796144
node258	0.06335345	0.93664655
node259	0.22250251	0.77749749
node260	0.19167149	0.80832851
node261	0.16466598	0.83533402
node262	0.08442284	0.91557716
node263	0.01178582	0.98821418
node264	0.00117900	0.99882100
node265	0.62429783	0.37570217
node266	0.80117051	0.19882949
node267	0.78179014	0.21820986
node268	0.88174938	0.11825062
node269	0.68907311	0.31092689
node270	0.84655836	0.15344164
node271	0.82888650	0.17111350
node272	0.80701274	0.19298726
node273	0.81361689	0.18638311
node274	0.91529136	0.08470864
node275	0.75864242	0.24135758
node276	0.99565462	0.00434538
node277	0.92453260	0.07546740
node278	0.96226680	0.03773320
node279	0.98172347	0.01827653
node280	0.98905609	0.01094391
node281	0.99237297	0.00762703
node282	0.99656186	0.00343814
node283	0.98969212	0.01030788
node284	0.79090124	0.20909876
node285	0.99470491	0.00529509
node286	0.99284426	0.00715574
node287	0.99371356	0.00628644
node288	0.99770221	0.00229779
node289	0.96027610	0.03972390
node290	0.91265772	0.08734228
node291	0.89721119	0.10278881
node292	0.78940559	0.21059441
node293	0.98339529	0.01660471
node294	0.95655533	0.04344467
node295	0.94870415	0.05129585
node296	0.95217139	0.04782861
node297	0.94747661	0.05252339
