KEGG	Description	Multifasciatus_padj	Meeli_padj	Multifasciatus_NES	Meeli_NES
onl00190	Oxidative phosphorylation	2.54285714285714e-09	0.00214553485383646	2.97313974233572	1.6813090706291
onl03010	Ribosome	2.54285714285714e-09	6.97047904089169e-05	2.92901505268138	1.83356095140498
onl04512	ECM-receptor interaction	2.54285714285714e-09	0.0362582274083159	-2.63971925331754	-1.43467918893133
onl04820	Cytoskeleton in muscle cells	2.54285714285714e-09	0.000565027832452553	-2.59504122301859	-1.6510297688064
onl04518	Integrin signaling	2.54285714285714e-09	0.000808560366659838	-2.28325920757064	-1.68154460984372
onl04517	IgSF CAM signaling	2.54285714285714e-09	3.06927625585804e-06	-1.92007059585434	-1.7345748256024
onl04814	Motor proteins	6.61633802252285e-09	0.00214553485383646	-2.13951674291154	-1.5970909426977
onl04510	Focal adhesion	2.08604581416863e-08	0.000737230741438234	-1.99922170671221	-1.630213273591
onl00280	Valine, leucine and isoleucine degradation	5.22405311313473e-06	3.18217180135806e-06	2.38516128205776	2.39895881134308
onl04810	Regulation of actin cytoskeleton	0.000197638216344335	0.0271608523223745	-1.66011154657943	-1.35988020137994
onl03050	Proteasome	0.000238363693980494	2.82000032285586e-06	2.13103680518061	2.48578511778025
onl04217	Necroptosis	0.000751298670354619	0.000457656833255736	1.68615967395342	1.76636687313198
onl04020	Calcium signaling pathway	0.00117527499871598	0.00529577776129284	-1.53206227953993	-1.46331689386677
onl00650	Butanoate metabolism	0.00145408594922802	0.000808560366659838	2.08864990347208	2.09124199694856
onl03040	Spliceosome	0.00180925975467389	0.0426176458537403	1.68922913116229	-1.403714668189
onl03060	Protein export	0.00219273755567476	0.00800471338199361	2.02592310635126	1.78664116762528
onl04519	Cadherin signaling	0.00381585135763472	0.000565027832452553	-1.44415767913296	-1.55935557878379
onl04130	SNARE interactions in vesicular transport	0.00459627370856654	0.0110760910664708	1.94335816673912	1.77394270364153
onl01240	Biosynthesis of cofactors	0.00459627370856654	0.0307216760925039	1.61867268957298	1.41972693631347
onl04137	Mitophagy - animal	0.00658812532973037	0.00919157638145709	1.62153816623152	1.53902280076889
onl00020	Citrate cycle (TCA cycle)	0.00790703719710426	0.00340717262957715	1.90210169299389	1.90286793049894
onl00640	Propanoate metabolism	0.00965277947355878	0.00198122255104082	1.92865738570151	1.99804966491558
onl04216	Ferroptosis	0.00965277947355878	0.0340664053901885	1.76480050415409	1.51025976002278
onl04141	Protein processing in endoplasmic reticulum	0.00965277947355878	0.000187902103362199	1.50115183832382	1.77385134613101
onl00620	Pyruvate metabolism	0.0118650980564483	0.0441452252003197	1.77533856048928	1.54408146882083
onl02010	ABC transporters	0.0119312574359273	0.000808560366659838	-1.74769846466273	-2.05042475986167
onl00860	Porphyrin metabolism	0.0119763352874192	0.0184068517282372	1.83570000059016	1.70352786301916
onl04142	Lysosome biogenesis	0.0119763352874192	2.83921001944636e-08	1.44310794026085	1.97602019239896
onl00071	Fatty acid degradation	0.0145387113915487	0.00197119805521623	1.75916788894727	1.91544144323469
onl04540	Gap junction	0.0278177041980814	0.00451446552675628	-1.51808990789561	-1.65429082422518
onl00785	Lipoic acid metabolism	0.0291115401135497	0.0184068517282372	1.79011377677173	1.80142967702515
onl04140	Autophagy - animal	0.03440877368857	0.0118327244606999	1.38287062372418	1.44742001510837
