GO	cluster	Description	set
GO:0050905	16	neuromuscular process	Multifasciatus
GO:0045926	25	negative regulation of growth	Multifasciatus
GO:0050684	4	regulation of mRNA processing	Meeli
GO:0019752	4	carboxylic acid metabolic process	Meeli
GO:0048667	5	cell morphogenesis involved in neuron differentiation	Meeli
GO:0009891	28	positive regulation of biosynthetic process	Meeli
GO:0010557	28	positive regulation of macromolecule biosynthetic process	Meeli
GO:0099536	15	synaptic signaling	Meeli
GO:0006399	4	tRNA metabolic process	Meeli
GO:0006888	9	endoplasmic reticulum to Golgi vesicle-mediated transport	Meeli
GO:0098742	8	cell-cell adhesion via plasma-membrane adhesion molecules	Meeli
GO:0006816	9	calcium ion transport	Meeli
GO:0007169	15	cell surface receptor protein tyrosine kinase signaling pathway	Meeli
GO:0002684	19	positive regulation of immune system process	Meeli
GO:0006643	4	membrane lipid metabolic process	Meeli
GO:2000026	5	regulation of multicellular organismal development	Meeli
GO:0006376	3	mRNA splice site recognition	Meeli
GO:1902414	13	protein localization to cell junction	Meeli
GO:0046883	29	regulation of hormone secretion	Meeli
GO:0060070	15	canonical Wnt signaling pathway	Meeli
GO:0002478	30	antigen processing and presentation of exogenous peptide antigen	Meeli
GO:0002696	19	positive regulation of leukocyte activation	Meeli
GO:0006955	19	immune response	Meeli
GO:0002503	3	peptide antigen assembly with MHC class II protein complex	Meeli
GO:0002381	11	immunoglobulin production involved in immunoglobulin-mediated immune response	Meeli
GO:0006486	1	protein glycosylation	Meeli
GO:0043413	18	macromolecule glycosylation	Meeli
GO:0070085	18	glycosylation	Meeli
GO:0009083	4	branched-chain amino acid catabolic process	Meeli
GO:0010629	11	negative regulation of gene expression	Meeli
GO:0050877	16	nervous system process	Meeli
GO:0006091	4	generation of precursor metabolites and energy	Meeli
GO:0009141	4	nucleoside triphosphate metabolic process	Meeli
GO:0036465	9	synaptic vesicle recycling	Meeli
GO:0099054	5	presynapse assembly	Meeli
GO:0002449	31	lymphocyte mediated immunity	Meeli
GO:0050870	8	positive regulation of T cell activation	Meeli
GO:1903039	8	positive regulation of leukocyte cell-cell adhesion	Meeli
GO:0050801	24	monoatomic ion homeostasis	Meeli
GO:0098657	9	import into cell	Meeli
GO:0010558	28	negative regulation of macromolecule biosynthetic process	Meeli
GO:0044283	18	small molecule biosynthetic process	Meeli
GO:0098659	9	inorganic cation import across plasma membrane	Meeli
GO:0006576	4	biogenic amine metabolic process	Meeli
GO:0009308	4	amine metabolic process	Meeli
GO:0099072	24	regulation of postsynaptic membrane neurotransmitter receptor levels	Meeli
GO:0009914	9	hormone transport	Meeli
GO:0009890	28	negative regulation of biosynthetic process	Meeli
GO:0007610	25	behavior	Meeli
GO:0050778	19	positive regulation of immune response	Meeli
GO:0046034	18	ATP metabolic process	Meeli
GO:0098739	9	import across plasma membrane	Meeli
GO:0002377	11	immunoglobulin production	Meeli
GO:0009896	28	positive regulation of catabolic process	Meeli
GO:0002791	23	regulation of peptide secretion	Meeli
GO:0015701	10	bicarbonate transport	Meeli
GO:0008286	15	insulin receptor signaling pathway	Meeli
GO:1903540	13	establishment of protein localization to postsynaptic membrane	Meeli
GO:0045165	5	cell fate commitment	Meeli
GO:0060632	12	regulation of microtubule-based movement	Meeli
GO:0030334	12	regulation of cell migration	Meeli
GO:0046777	1	protein autophosphorylation	Meeli
GO:0099565	15	chemical synaptic transmission, postsynaptic	Meeli
GO:0141193	32	nuclear receptor-mediated signaling pathway	Meeli
GO:0061640	7	cytoskeleton-dependent cytokinesis	Meeli
GO:0032411	23	positive regulation of transporter activity	Meeli
GO:0032414	23	positive regulation of ion transmembrane transporter activity	Meeli
GO:0051453	24	regulation of intracellular pH	Meeli
GO:0050767	5	regulation of neurogenesis	Meeli
GO:0031647	24	regulation of protein stability	Meeli
GO:0035967	20	cellular response to topologically incorrect protein	Meeli
GO:0010766	23	negative regulation of sodium ion transport	Meeli
GO:0010608	11	post-transcriptional regulation of gene expression	Meeli
GO:0042886	10	amide transport	Meeli
GO:0098962	15	regulation of postsynaptic neurotransmitter receptor activity	Meeli
GO:0035966	20	response to topologically incorrect protein	Meeli
GO:0035329	15	hippo signaling	Meeli
GO:0031396	1	regulation of protein ubiquitination	Meeli
GO:0046479	4	glycosphingolipid catabolic process	Meeli
GO:0007218	15	neuropeptide signaling pathway	Meeli
GO:0008637	6	apoptotic mitochondrial changes	Meeli
GO:0034982	1	mitochondrial protein processing	Meeli
GO:0051048	23	negative regulation of secretion	Meeli
GO:0048791	29	calcium ion-regulated exocytosis of neurotransmitter	Meeli
GO:0002062	5	chondrocyte differentiation	Meeli
GO:0006066	18	alcohol metabolic process	Meeli
GO:0040013	25	negative regulation of locomotion	Meeli
