cluster	GO	Description	set	padj	NES
15	GO:0051236	establishment of RNA localization	Meeli	0.029	-1.79
16	GO:0002700	regulation of production of molecular mediator of immune response	Multifasciatus	0.021	1.88
16	GO:0009890	negative regulation of biosynthetic process	Meeli	0.00201	-1.56
16	GO:0010558	negative regulation of macromolecule biosynthetic process	Meeli	0.0028	-1.57
16	GO:0010557	positive regulation of macromolecule biosynthetic process	Meeli	0.00473	-1.53
16	GO:0009896	positive regulation of catabolic process	Meeli	0.00608	-1.77
16	GO:0009891	positive regulation of biosynthetic process	Meeli	0.00759	-1.51
16	GO:0045892	negative regulation of DNA-templated transcription	Meeli	0.0223	-1.54
16	GO:0043488	regulation of mRNA stability	Meeli	0.0343	-1.73
16	GO:0010608	post-transcriptional regulation of gene expression	Meeli	0.0413	-1.57
17	GO:0048002	antigen processing and presentation of peptide antigen	Multifasciatus	0.0297	-1.77
17	GO:0002503	peptide antigen assembly with MHC class II protein complex	Multifasciatus	0.0438	-1.77
17	GO:0019882	antigen processing and presentation	Meeli	0.0373	1.85
19	GO:0006911	phagocytosis, engulfment	Multifasciatus	0.0349	-1.78
19	GO:0045324	late endosome to vacuole transport	Meeli	0.0271	1.94
