gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
htatip2	HIV-1 Tat interactive protein 2	345.233835360228	1.24293141536005	0.207431543022336	5.99200775952483	2.07266033935384e-09	4.70949882307981e-05
LOC100699898	cytochrome P450 2J2	22.4065169571395	7.41052235646962	1.29715221661483	5.71291654252329	1.11056151672008e-08	0.000126170893914568
LOC109196840	cytochrome P450 2J6	41.2494082540024	7.05990853179737	1.4618706943951	4.82936593425498	1.36968495449614e-06	0.0077804953840153
LOC100691394	retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	183.546356245233	7.69061248644251	1.58929458702873	4.83901005465608	1.30487445917333e-06	0.0077804953840153
LOC100695275	dehydrogenase/reductase SDR family member 11	271.977465913968	3.89610730972176	0.865237462720004	4.5029341395757	6.70216584234256e-06	0.021755230324244
LOC100699487	solute carrier family 16 member 12b	38.5543475755593	5.92182448572534	1.31495372929626	4.50344704440252	6.68600337555865e-06	0.021755230324244
LOC100703065	retinal outer segment membrane protein 1b	239.790246452031	4.90861905168183	1.08693040583534	4.51603803272887	6.30073529646702e-06	0.021755230324244
LOC102083285	coiled-coil domain-containing protein 158	280.640131820612	-1.78175111353904	0.401449566764918	-4.43829377597111	9.06748037497417e-06	0.0257539111350204
LOC100701549	purpurin	256.606838725505	5.26679329451927	1.20918048774352	4.35567175281479	1.32659449265162e-05	0.0334920889578112
LOC100702151	C-type mannose receptor 2	67.838976323975	5.52940737241365	1.3048091075184	4.23771365524108	2.25807501589526e-05	0.051307980511172
LOC100696010	retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	502.587802307406	5.75831217999356	1.41819190269726	4.06031945961743	4.90056184620915e-05	0.0704297187107721
LOC100702433	cysteine and histidine-rich domain (CHORD) containing 1a	41.0850370290124	3.2458665982357	0.795249923223089	4.08156794920576	4.47328953597301e-05	0.0704297187107721
LOC100694479	dehydrogenase/reductase SDR family member 11	45.6016162654035	3.31013232941772	0.808974271175022	4.09176465477673	4.28103002420666e-05	0.0704297187107721
LOC100700439	cytochrome P450 2J2	698.167741146307	0.964476231580061	0.237700216831187	4.0575319805662	4.95940277868301e-05	0.0704297187107721
LOC102083127	desmoglein-2	12.951791885304	-6.2286365110291	1.52086788779773	-4.09544876382943	4.21351407880813e-05	0.0704297187107721
LOC102075721	galectin-8	74.4888963495533	3.57676322043238	0.86476448699334	4.13611251876018	3.53239034076834e-05	0.0704297187107721
LOC100696535	phosphodiesterase 6A, cGMP-specific, rod, alpha	112.319443305826	2.21849274887679	0.549193366474245	4.03954760619059	5.35543975251066e-05	0.0715801776803219
LOC100708600	uncharacterized LOC100708600	47.7329737735395	3.80168172266027	1.00772714139353	3.77253084342169	0.000161599982092701	0.203993044061686
cfap69	cilia and flagella associated protein 69	1146.99110135973	3.98153085138138	1.08078234858905	3.68393401000601	0.000229661721046338	0.253116080495107
LOC100695135	arrestin 3a, retinal (X-arrestin)	295.941945733066	4.86800570006682	1.32224235394565	3.68162892796499	0.000231748545065088	0.253116080495107
LOC100706968	beta-carotene oxygenase 1, like	208.493934237668	-1.76268047663698	0.47908869697794	-3.67923619938406	0.000233933530956661	0.253116080495107
LOC102076813	uncharacterized LOC102076813	329.006077003977	3.20735774689228	0.905380729948308	3.54255137181393	0.000396276229794516	0.381424313590933
guca1b	guanylate cyclase activator 1B	53.8223065419867	5.79561693397616	1.62999038534678	3.55561418403283	0.000377097122603938	0.381424313590933
LOC100691236	rhodopsin	5130.62445658329	5.41658956591591	1.53089208218806	3.53819163933105	0.000402877542741941	0.381424313590933
LOC100709379	guanylyl cyclase 2	27.9040306703488	7.94506482183214	2.25892383638994	3.51719021856417	0.000436141108665797	0.396399930844169
LOC100690214	uncharacterized LOC100690214	131.705899242013	-2.29573631373728	0.659163814833872	-3.48280087904382	0.00049619728420818	0.433638257376087
LOC100703259	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	124.262159243105	4.78137726560501	1.40704353109321	3.39817294912695	0.000678375197238792	0.570890415987401
LOC100703904	retinal outer segment membrane protein 1a	172.506507927332	5.65153891510791	1.68115613517555	3.36169782024307	0.00077464846578758	0.606950428952599
LOC100698923	dehydrogenase/reductase SDR family member 11	314.587574331909	3.55886821064268	1.05612587340923	3.3697386838507	0.000752394982137817	0.606950428952599
LOC102079648	NA	5.86219417168228	-5.93705899395546	1.78698794220718	-3.32238335454148	0.000892519793814483	0.633744836095397
LOC102076632	uncharacterized LOC102076632	30.9177898291719	6.68020225278425	2.00771950238903	3.32725873551326	0.000877048989690057	0.633744836095397
LOC100704245	actin, cytoplasmic 1	48.2408474663156	2.87241524545759	0.860633306683615	3.33755993772333	0.000845174907192527	0.633744836095397
LOC100710713	cyclin-dependent kinase 15	114.496653697189	1.52015951813436	0.458926861034092	3.31242219012635	0.000924918506424554	0.636848433423597
LOC100698067	rhotekin b	29.8761602108934	2.65971016860513	0.805005601346948	3.30396479745589	0.000953278015687167	0.637070090365994
LOC100698156	excitatory amino acid transporter 2	7.56410703706018	5.70934844178812	1.73355189515803	3.29343958939726	0.00098969606833911	0.64251068756575
nbis-pseudo28	C5a anaphylatoxin chemotactic receptor 1-like	185.67493567291	3.60513452779155	1.10308644201711	3.26822485570503	0.00108224347484217	0.68307600653788
LOC100706288	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	629.911968509671	3.68101533306893	1.1465270604647	3.21057867711991	0.00132468000012662	0.81349672872641
