gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ankra2	ankyrin repeat, family A (RFXANK-like), 2	2058.23855641621	1.00753845118861	0.170649503074192	5.90413937947755	3.54492373971033e-09	5.29697872429898e-05
LOC102083135	probable G-protein coupled receptor 34	362.651722559557	1.56345012194274	0.266855308767314	5.85879340068139	4.66242295950971e-09	5.29697872429898e-05
nxnl2	nucleoredoxin like 2	149.701013060819	-1.12682868947843	0.218135608066862	-5.1657255753175	2.39507979608826e-07	0.00181403343755725
LOC102076813	uncharacterized LOC102076813	329.006077003977	-4.02280441918071	0.815183558080358	-4.93484489389586	8.02144807897256e-07	0.00364526686500829
lmod2	leiomodin 2 (cardiac) b	11.0943824049248	4.05252272760453	0.81808902948031	4.95364511877013	7.28359919359936e-07	0.00364526686500829
LOC100703580	fibrous sheath CABYR-binding protein	1721.15478836138	-0.564975615384519	0.118167151225627	-4.7811562648723	1.74289813598201e-06	0.00642871449540179
p2ry4	pyrimidinergic receptor P2Y4	68.2677650403519	1.45781612424683	0.306559915517373	4.75540359471495	1.98050354140536e-06	0.00642871449540179
LOC100709641	gap junction protein beta 1a	1166.78546188811	0.754141275387151	0.162137534425803	4.65124425419371	3.29938263281857e-06	0.00681532474390032
orc1	origin recognition complex, subunit 1	125.283432697297	-1.80562828055703	0.38773386173264	-4.65687539511855	3.21044617575799e-06	0.00681532474390032
LOC100697751	CMRF35-like molecule 3	8.95693075627691	3.79187399925888	0.813039093075594	4.6638273996332	3.10381740267372e-06	0.00681532474390032
ampd1	adenosine monophosphate deaminase 1 (isoform M)	23.2237654746288	5.10196152564798	1.08335567260147	4.70940583473994	2.48439959163072e-06	0.00681532474390032
LOC102081984	myelin-associated glycoprotein	85.3941742817256	1.99031269055639	0.433234165835817	4.59408063239098	4.34661298109987e-06	0.0082303116797126
LOC100701380	creatine kinase, muscle a	315.677720608512	5.3443251327909	1.19994402384532	4.45381203338515	8.43589601411332e-06	0.0122034825240984
LOC100711471	solute carrier family 22 member 6, like	40.0687630548692	-4.81641189925998	1.07924151407421	-4.46277486220641	8.09050468987747e-06	0.0122034825240984
LOC100708099	solute carrier family 22 member 5	161.340212944978	-3.92420066709003	0.895418089460978	-4.38253449788167	1.17306583550326e-05	0.0122034825240984
LOC100691625	phosphoglycerate mutase 2 (muscle)	53.9117707043259	3.3081958788778	0.753851085621884	4.38839439509294	1.14190559138564e-05	0.0122034825240984
LOC100704944	CD9 molecule a	3697.14187829326	0.51875044761102	0.117806853748996	4.40339785931549	1.06568469069209e-05	0.0122034825240984
cenpt	centromere protein T	117.534906271876	-1.11043581385976	0.249937623251966	-4.44285177802268	8.87743240840313e-06	0.0122034825240984
LOC100534413	actin alpha 1, skeletal muscle b	850.689188181578	5.25886685527226	1.1951527083049	4.40016310780151	1.08169541111556e-05	0.0122034825240984
LOC109195569	uncharacterized LOC109195569	8.92090058169696	7.50482734480027	1.71305511932055	4.38096081098484	1.18157123285875e-05	0.0122034825240984
LOC100711055	uncharacterized LOC100711055	445.880010165019	0.597955270397387	0.135490910460587	4.41325007238273	1.01830258332008e-05	0.0122034825240984
LOC100712576	Down syndrome cell adhesion molecule-like protein 1 homolog	726.761317705956	1.18955703865954	0.268684565841619	4.42733669845681	9.54037502153827e-06	0.0122034825240984
LOC102077585	NA	25.5955977599277	2.51498765374501	0.581675670477453	4.3236940814125	1.53438029313664e-05	0.0151583430524568
